run,design,feature_set,model,n,base_rate,auc,brier,auc_ci_low,auc_ci_high,operating_point,threshold,accuracy,precision,recall,f1,specificity,type_i_error,type_ii_error,power,selection_rate,cost_per_defendant,tp,fp,tn,fn
holdout,holdout,race_aware,TabPFN,1852,0.45518358531317493,0.735756601029642,0.20669053307350646,0.7129026667650199,0.7577420655838731,0.5,0.5,0.6819654427645788,0.6829971181556196,0.5622775800711743,0.6167859466493169,0.7819623389494549,0.2180376610505451,0.4377224199288256,0.5622775800711743,0.3747300215982721,9573.434125269978,474,220,789,369
holdout,holdout,race_aware,TabPFN,1852,0.45518358531317493,0.735756601029642,0.20669053307350646,0.7129026667650199,0.7577420655838731,break_even,0.2523364485981308,0.588012958963283,0.5282087447108603,0.8884934756820878,0.6625386996904024,0.33696729435084244,0.6630327056491576,0.11150652431791222,0.8884934756820878,0.765658747300216,6906.857451403887,749,669,340,94
holdout,holdout,race_aware,COMPAS tool,1852,0.45518358531317493,0.6574853601101358,0.3385529157667387,0.6356724335026777,0.6790165191083695,0.5,0.5,0.6614470842332614,0.6320293398533008,0.6132858837485172,0.6225165562913907,0.7016848364717542,0.2983151635282458,0.3867141162514828,0.6132858837485172,0.44168466522678185,9235.151187904967,517,301,708,326
holdout,holdout,race_aware,COMPAS tool,1852,0.45518358531317493,0.6574853601101358,0.3385529157667387,0.6356724335026777,0.6790165191083695,break_even,0.2523364485981308,0.6614470842332614,0.6320293398533008,0.6132858837485172,0.6225165562913907,0.7016848364717542,0.2983151635282458,0.3867141162514828,0.6132858837485172,0.44168466522678185,9235.151187904967,517,301,708,326
holdout,holdout,race_blind,TabPFN,1852,0.45518358531317493,0.7343446349403411,0.20661739112970062,0.7114325068870523,0.7569256142710734,0.5,0.5,0.683585313174946,0.6854256854256854,0.5634638196915777,0.6184895833333333,0.7839444995044599,0.21605550049554015,0.4365361803084223,0.5634638196915777,0.3741900647948164,9537.257019438444,475,218,791,368
holdout,holdout,race_blind,TabPFN,1852,0.45518358531317493,0.7343446349403411,0.20661739112970062,0.7114325068870523,0.7569256142710734,break_even,0.2523364485981308,0.5836933045356372,0.5251748251748252,0.8908659549228944,0.6608007039155301,0.3270564915758176,0.6729435084241824,0.10913404507710557,0.8908659549228944,0.7721382289416847,6936.555075593952,751,679,330,92
holdout,holdout,race_blind,COMPAS tool,1852,0.45518358531317493,0.6574853601101358,0.3385529157667387,0.6356724335026777,0.6790165191083695,0.5,0.5,0.6614470842332614,0.6320293398533008,0.6132858837485172,0.6225165562913907,0.7016848364717542,0.2983151635282458,0.3867141162514828,0.6132858837485172,0.44168466522678185,9235.151187904967,517,301,708,326
holdout,holdout,race_blind,COMPAS tool,1852,0.45518358531317493,0.6574853601101358,0.3385529157667387,0.6356724335026777,0.6790165191083695,break_even,0.2523364485981308,0.6614470842332614,0.6320293398533008,0.6132858837485172,0.6225165562913907,0.7016848364717542,0.2983151635282458,0.3867141162514828,0.6132858837485172,0.44168466522678185,9235.151187904967,517,301,708,326
X1+X2_to_X3,partition,race_aware,TabPFN,1235,0.45506072874493925,0.736613823481199,0.206140089143015,0.7067640691638661,0.763322234793241,0.5,0.5,0.6882591093117408,0.6919739696312365,0.5676156583629893,0.6236559139784946,0.7890044576523031,0.21099554234769688,0.43238434163701067,0.5676156583629893,0.37327935222672065,9422.672064777327,319,142,531,243
X1+X2_to_X3,partition,race_aware,TabPFN,1235,0.45506072874493925,0.736613823481199,0.206140089143015,0.7067640691638661,0.763322234793241,break_even,0.2523364485981308,0.5805668016194332,0.5234042553191489,0.8754448398576512,0.6551264980026631,0.3343239227340267,0.6656760772659732,0.12455516014234876,0.8754448398576512,0.7611336032388664,7164.372469635628,492,448,225,70
X1+X2_to_X3,partition,race_aware,COMPAS tool,1235,0.45506072874493925,0.6583603454019555,0.3368421052631579,0.6310789441302609,0.6844627740076293,0.5,0.5,0.6631578947368421,0.6367041198501873,0.604982206405694,0.6204379562043796,0.711738484398217,0.28826151560178304,0.39501779359430605,0.604982206405694,0.43238866396761133,9310.931174089068,340,194,479,222
X1+X2_to_X3,partition,race_aware,COMPAS tool,1235,0.45506072874493925,0.6583603454019555,0.3368421052631579,0.6310789441302609,0.6844627740076293,break_even,0.2523364485981308,0.6631578947368421,0.6367041198501873,0.604982206405694,0.6204379562043796,0.711738484398217,0.28826151560178304,0.39501779359430605,0.604982206405694,0.43238866396761133,9310.931174089068,340,194,479,222
