run,design,feature_set,cohort,n_train,n_test,train_base_rate,test_base_rate,period,fit_seconds,predict_seconds
holdout,holdout,race_aware,modelling,4320,1852,0.4550925925925926,0.45518358531317493,,165.58118719997583,66.26339019997977
holdout,holdout,race_blind,modelling,4320,1852,0.4550925925925926,0.45518358531317493,,103.0672541000531,42.098356000031345
X1+X2_to_X3,partition,race_aware,modelling,4937,1235,0.45513469718452504,0.45506072874493925,,203.7353363999864,52.35596559999976
X1_to_X3,partition,race_aware,modelling,2468,1235,0.45502431118314424,0.45506072874493925,,64.42248649999965,47.54147120000562
X2_to_X3,partition,race_aware,modelling,2469,1235,0.4552450384771162,0.45506072874493925,,75.52102830004878,34.452195499965455
X1+X2_to_X3,partition,race_blind,modelling,4937,1235,0.45513469718452504,0.45506072874493925,,147.7489302000031,28.66082859999733
X1_to_X3,partition,race_blind,modelling,2468,1235,0.45502431118314424,0.45506072874493925,,40.15589450002881,16.75938539998606
X2_to_X3,partition,race_blind,modelling,2469,1235,0.4552450384771162,0.45506072874493925,,39.0899356000009,15.935302200028673
temporal_1,temporal,race_aware,dated,2274,1138,0.35356200527704484,0.3189806678383128,"train 2013-01-01..2013-05-11, test 2013-05-11..2013-09-25",54.95168979995651,26.121871799987275
temporal_2,temporal,race_aware,dated,3980,1706,0.3374371859296482,0.32590855803048063,"train 2013-01-01..2013-11-11, test 2013-11-11..2014-04-01",131.1372229999979,53.61202639999101
temporal_1,temporal,race_blind,dated,2274,1138,0.35356200527704484,0.3189806678383128,"train 2013-01-01..2013-05-11, test 2013-05-11..2013-09-25",35.00266350002494,15.43009229999734
temporal_2,temporal,race_blind,dated,3980,1706,0.3374371859296482,0.32590855803048063,"train 2013-01-01..2013-11-11, test 2013-11-11..2014-04-01",83.7395516000106,31.709973100048956
